Saami {prop} (Saami language)	 :: Samisk språk
stinginess {n} (lack of generosity)	 :: gjerrighet
stingray {n} (fish)	 :: [Bokmål] piggrokker
stinkbird {n} (hoatzin) SEE: hoatzin	 ::
stinkhorn {n} (fungus)	 :: stanksopp
stipulate {v} (to require as a condition of a contract or agreement)	 :: [Bokmål] stipulere; [Nynorsk] stipulere
stipule {n} (basal appendage)	 :: [Bokmål] øreblad {n}, stipel; [Nynorsk] øyreblad {n}, stipel
stir {v} (to agitate the contents of)	 :: [Bokmål] røre; [Nynorsk] røre
stir {v} (to disturb the relative position of the particles of)	 :: [Bokmål] røre; [Nynorsk] røre
stirrup {n} (footrest)	 :: [Bokmål] stigbøyle {m}; [Nynorsk] stigbøyel {m}
stirrup {n} (stapes) SEE: stapes	 ::
stirrup bone {n} (stapes) SEE: stapes	 ::
stir up {v} (to cause (trouble etc))	 :: hisse opp, egge til opprør
stitch {n} (furrow) SEE: furrow	 ::
stitch {v} (agriculture: to form land into ridges) SEE: plough/plow	 ::
stitch {v} (form stitches in) SEE: sew	 ::
stitch {v} (unite by stitches) SEE: sew together	 ::
stoat {n} (stoat) SEE: ermine	 ::
stock {n} (finance: capital raised by a company)	 :: [Bokmål] aksje {m}; [Nynorsk] aksje {m}
stock {n} (rolling stock) SEE: rolling stock	 ::
stock {n} (store of goods for sale)	 :: [Bokmål] lager {n}; [Nynorsk] lager {n}
stock {n} (supply of anything ready for use)	 :: [Bokmål] lager {n}; [Nynorsk] lager {n}
stock exchange {n} (building and the associated organization)	 :: [Bokmål] børs {m}; [Nynorsk] børs {m}
stockholder {n} (one who owns stock)	 :: aksjonær {m}
Stockholm {prop} (capital of Sweden)	 :: Stockholm
stocking {n} (garment (for translations of "sock", see sock))	 :: strømpe {f}
stoic {adj}	 :: stoisk
stoichiometry {n} (the study of the relationships of reactants and products in chemical reactions)	 :: [Bokmål] støkiometri {m}
stoker {n} (poker) SEE: poker	 ::
stole {v} (simple past of to steal)	 :: stjal
stolen {v} (past participle of to steal)	 :: stjålet
stomach {n} (appetite) SEE: appetite	 ::
stomach {n} (belly)	 :: mage {m}, buk {m}
stomach {n} (digestive organ)	 :: mage {m}
stomach {n} (figuratively: desire, appetite) SEE: appetite	 ::
stomach {n} (pride, haughtiness) SEE: haughtiness	 ::
stompie {n} (cigarette butt) SEE: butt	 ::
stone {adj} (having the appearance of stone)	 :: steinaktig
stone {n} (centre of some fruits)	 :: stein {m}
stone {n} (gem stone)	 :: edelstein {m}
stone {n} (small piece of stone)	 :: stein {m}; [Bokmål] sten {m}
stone {n} (substance)	 :: stein {m}; [Bokmål] sten {m}
stone {v} (kill by pelting with stones)	 :: steine
Stone Age {prop} (prehistoric period)	 :: steinalderen, stenalderen
stoned {adj} (drunk) SEE: drunk	 ::
stone marten {n} (Martes foina) SEE: beech marten	 ::
stone's throw {n} (short distance)	 :: steinkast {n}
stone wall {n} (wall made from stone)	 :: [Bokmål] steinmur {m}; [Nynorsk] steinmur {m}
stoning {n} (lapidation) SEE: lapidation	 ::
stooge {n} (straight man) SEE: straight man	 ::
stool {n} (a seat)	 :: [Bokmål] krakk {m}; [Nynorsk] krakk {m}
stool {n} (footstool) SEE: footstool	 ::
stop {n} (place to get on and off line buses or trams)	 :: [Bokmål] holdeplass
storage {n} (computing)	 :: lager {n}
storage {n} (place)	 :: lager {n}
store {n} (in computing) SEE: memory	 ::
store {n} (place where items may be kept)	 :: lager {n}
store {n} (shop) SEE: shop	 ::
store {n} (supply held in storage)	 :: lager {n}, forråd {m}
store {v} (computing: write (something) into memory or registers)	 :: lagre
store {v} (keep (something) while not in use)	 :: oppbevare
store {v} (remain in good condition while stored)	 :: holde (seg)
storeman {n} (warehouseman) SEE: warehouseman	 ::
storeroom {n} (room used for storage)	 :: [Bokmål] bod {m}, bu {m} {f}; [Nynorsk] bu {f}
storey {n} (floor)	 :: [Bokmål] etasje {m}
stork {n} (large wading bird)	 :: [Bokmål] stork {m}; [Nynorsk] stork {m}
storm {n} (meteorology: wind scale for very strong wind)	 :: [Bokmål] storm {m}; [Nynorsk] storm {m}
storm {n}	 :: storm {m}
storm petrel {n} (any of several small seabirds, of the family Hydrobatidae)	 :: havsvale
story {n} (account of events)	 :: historie {m}
story {n} (lie) SEE: lie	 ::
story {n} (storey) SEE: storey	 ::
storyteller {n} (person who relates stories to an audience)	 :: [Bokmål] forteller {m}
stout {adj} (obstinate) SEE: obstinate	 ::
stove {n} (device for heating food)	 :: [Bokmål] ovn {m}
stove {n} (heater)	 :: [Bokmål] ovn {m}
stovepipe hat {n} (stovepipe hat) SEE: top hat	 ::
stow {v} (to put something away in a compact and tidy manner)	 :: [Bokmål] stue
stowaway {n} (person who hides on a ship, train, etc.)	 :: blindpassasjer {m}
straight {n} (heterosexual) SEE: heterosexual	 ::
straight away {adv} (very soon; immediately) SEE: right away	 ::
strait {n} (narrow channel of water)	 :: sund, strede {n}, strete, kanal {m},
straitjacket {n} (a jacket-like garment)	 :: [Bokmål] tvangstrøye {m} {m-d}; [Nynorsk] tvangstrøye {f}
Strait of Gibraltar {prop} (Strait of Gibraltar)	 :: [Bokmål] Gibraltarstredet; [Nynorsk] Gibraltarsundet
strand {n} (beach)	 :: strand {m}
strange {adj} (in quantum mechanics)	 :: sær
strange {adj} (not normal)	 :: merkelig, sær, rar
strange {adj} (not yet part of one’s experience)	 :: ukjent
stratagem {n} (tactic)	 :: list {c}, krigslist {c}
strategical {adj} (strategic) SEE: strategic	 ::
Strategic Defense Initiative {prop} (Star Wars) SEE: Star Wars	 ::
strategy {n} (art of using similar techniques in politics or business)	 :: [Bokmål] strategi {m}; [Nynorsk] strategi {m}
strategy {n} (plan of action)	 :: [Bokmål] strategi {m}; [Nynorsk] strategi {m}
strategy {n} (science and art of military command)	 :: [Bokmål] strategi {m}; [Nynorsk] strategi {m}
straw {n} (drinking straw) SEE: drinking straw	 ::
strawberry {n} (colour)	 :: jordbærfarge
strawberry {n} (fruit)	 :: [Bokmål] jordbær {n}; [Nynorsk] jordbær {n}
strawberry {n} (plant)	 :: jordbærplante {m}
strayed {adj} (Who has lost his way) SEE: stray	 ::
street {n} (paved part of road in a village or a town)	 :: [Bokmål] gate {m} {f}; [Nynorsk] gate {f}
streetcar {n} (tram) SEE: tram	 ::
street child {n} (street urchin) SEE: street urchin	 ::
streetlight {n} (lamps set along a street)	 :: gatebelysning
strength tester {n} (high striker) SEE: high striker	 ::
stress {n} (on a syllable) SEE: accent	 ::
strew {v} (to distribute objects or pieces of something)	 :: strø
strife {n} (violent conflict)	 :: strid {m}
strike {n} (work stoppage)	 :: streik {m}
strike {v} (to delete)	 :: stryke
strike {v} (to hit)	 :: slå, ramme
strike {v} (to impress, seem, appear)	 :: slå
strike {v} (to stop working to achieve better working conditions)	 :: streike
strike while the iron is hot {v} (act on an opportunity promptly)	 :: smi mens jernet er varmt
string {n} (computing: sequence of characters)	 :: [Bokmål] streng {m}; [Nynorsk] streng {m}
string {n} (long, thin structure made from twisted threads)	 :: streng
string {n} (stringed instrument) SEE: stringed instrument	 ::
string bass {n} (instrument) SEE: double bass	 ::
string instrument {n} (musical instrument that produces sound by strings) SEE: stringed instrument	 ::
string quartet {n} (composition for four string players)	 :: strykekvartett {m}
string quartet {n} (group of four string players)	 :: strykekvartett {m}
string theory {n} (candidate unified theory of all physical forces and particles)	 :: [Bokmål] strengteori; [Nynorsk] strengeteori
string trimmer {n} (garden implement)	 :: [Bokmål] gresstrimmer {m}
striped alder {n} (American winterberry) SEE: American winterberry	 ::
stripper {n} (one who removes one's clothes, especially as a form of paid entertainment)	 :: stripper {m}, stripperske {f}
striptease {n} (arousing act)	 :: striptease {m}
stripy {adj} (striped) SEE: striped	 ::
strive {v} (to try to achieve)	 :: streve
stroke {n} (act of striking with a weapon)	 :: slag {n}
stroke {n} (blow)	 :: slag {n}
stroke {n} (golf: single act of striking the ball)	 :: slag {n}
stroke {n} (loss of brain function arising when the blood supply to the brain is suddenly interrupted)	 :: slag {n}
stroke {n} (rowing: movement of an oar or paddle through water)	 :: tak {n}
stroke {n} (single movement with a tool)	 :: slag {n}
stroke {n} (streak made with a brush)	 :: strøk {n}
stroke {n} (tennis: single act of striking the ball)	 :: slag {n}
stroke {n} (time when a clock strikes)	 :: slag {n}
stroll {n} (wandering on foot)	 :: rusletur {m}, spasertur {m}
stroll {v} (wander on foot)	 :: rusle, slentre, spasere
strong as an ox {adj} (very strong and powerful)	 :: sterk som en bjørn, sterk som en okse
strongman game {n} (high striker) SEE: high striker	 ::
strong point {n} (excellent characteristic or ability) SEE: forte	 ::
strontium {n} (chemical element)	 :: strontium
strop {n} (bad mood) SEE: bad mood	 ::
struggle {n} (strife, effort)	 :: kjempe, streve
struggle {v} (to strive, to labour in difficulty, to fight)	 :: slåss, kjempe, slite streve
stubborn {adj} (refusing to move or change one's opinion)	 :: sta, vrangvillig
stud {n} (animal breeding place)	 :: stutteri {n}
stud {n} (type of poker) SEE: stud poker	 ::
student {n} (person enrolled at a university)	 :: student {m}
student {n} (person who studies an academic subject)	 :: student
student {n} (schoolchild) SEE: schoolchild	 ::
study {n} (examination) SEE: examination	 ::
study {n} (mental effort to acquire knowledge)	 :: studium {n}
study {v} (to acquire knowledge)	 :: studere
study {v} (to revise/review materials)	 :: studere, lære
stuff {n} (miscellaneous items; things)	 :: ting, saker {p}
stuff {n} (substitution for trivial details)	 :: ting, saker
stuff {n} (the tangible substance that goes into the makeup of a physical object)	 :: stoff {n}, materiale {n}
stuff {v} (to fill (something) up in a compressed manner)	 :: stappe, fylle
stuffed animal {n} (a toy animal stuffed with straw, beans, cotton or other similar materials.)	 :: [Bokmål] bamse {m}, kosedyr {n}, tøydyr {n}; [Nynorsk] kosedyr {n}
stumble across {v} (to come across by accident; to discover by accident)	 :: snuble over
stumble on {v} (to come across by accident; to discover by accident)	 :: snuble over
stumble upon {v} (to come across by accident; to discover by accident)	 :: snuble over
stumbling-block {n} (stumbling block) SEE: stumbling block	 ::
stump {n} (remains of something that has been cut off)	 :: [Bokmål] stump {m}
stun {v} (to incapacitate)	 :: svimeslå, lamslå, lamme
stunt {n} (dangerous feat)	 :: [Bokmål] stunt {n}; [Nynorsk] stunt {n}
stupid {adj} (lacking in intelligence)	 :: dum
sturgeon {n} (fish of family Acipenseridae)	 :: stør {m}
sty {n} (inflammation) SEE: stye	 ::
sty {n} (ladder) SEE: ladder	 ::
sty {v} (to rise up) SEE: ascend	 ::
stye {n} (bacterial infection of the eyelash or eyelid)	 :: byggkorn
style {n} (manner of doing things)	 :: stil
style {n} (term to address a person)	 :: tiltaleform {m}
style {v} (to call or give a name or title)	 :: tiltale
style {v} (to create or give a style)	 :: stilisere
stylist {n} (designer) SEE: designer	 ::
stylist {n} (hairdresser) SEE: hairdresser	 ::
stylus {n} (pen for writing on touch-sensitive screen)	 :: [Bokmål] pekepenn {m}; [Nynorsk] peikepenn {m}
stylus {n} (phonograph needle)	 :: [Bokmål] stift {m}; [Nynorsk] stift {m}
stylus {n} (tool for writing Braille)	 :: [Bokmål] pren {m}; [Nynorsk] pren {m}
stylus {n} (tool for writing on clay tablets)	 :: [Bokmål] stylus {m}; [Nynorsk] stylus {m}
stymie {v} (to thwart or stump)	 :: [Bokmål] dekke, sette i en vanskelig stilling; [Nynorsk] dekkje, setje i ei vanskeleg stilling
Styx {prop} (river of the underworld)	 :: Styx
subconsciously {adv} (in a manner that lacks conscious awareness)	 :: underbevisst
subculture {n} (portion of a culture distinguished by its customs or other features)	 :: [Bokmål] subkultur {m}, delkultur {m}; [Nynorsk] subkultur {m}, delkultur {m}
subcutaneous {adj} (Pertaining to the fatty layer under the skin)	 :: [Bokmål] subkutan; [Nynorsk] subkutan
subjectivism {n}	 :: subjektivisme
subjugate {v} (to forcibly impose obedience or servitude)	 :: underkue
subjunctive {n} (subjunctive mood)	 :: konjunktiv {m}
subjunctive mood {n} (subjunctive mood)	 :: konjunktiv {m}
submarine {n} (undersea boat)	 :: [Bokmål] ubåt {m}, undervannsbåt {m}; [Nynorsk] ubåt {m}, undervassbåt {m}
subnormal {adj} (computing theory: denormal) SEE: denormal	 ::
subproduct {n} (byproduct) SEE: byproduct	 ::
subscribe {v} (to sign up to receive a publication)	 :: [Bokmål] abonnere; [Nynorsk] abonnere
subscribe {v} (to write underneath)	 :: [Bokmål] underskrive, undertegne; [Nynorsk] underskrive, undertegne
subscriber {n} (a person who subscribes to a publication or a service)	 :: [Bokmål] abonnent {m}; [Nynorsk] abonnent {m}
subscription {n} (access to a resource for a period of time)	 :: [Bokmål] abonnement {n}; [Nynorsk] abonnement {n}
subsidiary {adj} (auxiliary or supplemental)	 :: subsidiær
subsistent {adj} (inherent) SEE: inherent	 ::
substance {n} (considerable wealth)	 :: formue {m}
substance {n} (drugs)	 :: narkotika; [Bokmål] narkotika {n}, stoff {n}, substans {m}
substance {n} (essential part)	 :: substans {m}
substance {n} (matter)	 :: substans {m}, masse {m}
substance abuse {n} (overindulgence in a drug)	 :: rusmisbruk {m} {n}
substantial {adj}	 :: vesentlig
substantially {adv} (in a strong substantial manner; considerably)	 :: i alt vesentligt, vesentligen
substantially {adv} (to a great extent; in essence; essentially)	 :: i alt vesentligt, vesentligen
substitute teacher {n} (supply teacher) SEE: supply teacher	 ::
substitution {n} (substitute) SEE: substitute	 ::
subtitle {n} (textual versions of the dialog in films)	 :: [Bokmål] undertekst {m} {f}; [Nynorsk] undertekst {m} {f}
subtract {v} (to remove or reduce)	 :: subtrahere, trekke fra
subtraction {n} (calculation)	 :: [Bokmål] subtraksjon {m}; [Nynorsk] subtraksjon {m}
subtraction {n} (process)	 :: [Bokmål] subtraksjon {m}; [Nynorsk] subtraksjon {m}
subtropical {adj} (further from the equator than the tropical regions)	 :: [Bokmål] subtropisk; [Nynorsk] subtropisk
suburb {n} (area on the periphery of a city or large town)	 :: forstad {m}
subvention {n} (subsidy) SEE: subsidy	 ::
subvertisement {n} (piece of subvertising) SEE: subvert	 ::
sub-zero {adj} ((of a temperature) below 0°C)	 :: minusgrader {m-p}
subzero {adj} (sub-zero) SEE: sub-zero	 ::
success {n} (achievement of one's aim or goal)	 :: [Bokmål] suksess {m}; [Nynorsk] suksess {m}
success {n} (person who achieves his or her goals)	 :: [Bokmål] suksess {m}; [Nynorsk] suksess {m}
successful {adj} (resulting in success)	 :: [Bokmål] vellykket; [Nynorsk] vellukka
successor {n} (person or thing that immediately follows another)	 :: [Bokmål] etterkommer {m}
succinct {adj} (brief and to the point)	 :: konsis
succuba {n} (a female demon or fiend) SEE: succubus	 ::
such as {prep} (for example) SEE: for example	 ::
such is life {phrase} (used to express the acceptance of misfortune)	 :: sånn er livet
suck {n} (sycophant) SEE: sycophant	 ::
suck {v} (colloquial: term of general disparagement)	 :: suge
suck {v} (to use the mouth to pull in (liquid etc))	 :: suge
sucker {n} (lollipop) SEE: lollipop	 ::
sucrose {n} (a disaccharide)	 :: sukrose
Sudan {prop} (Republic of Sudan)	 :: Sudan
Sudanese {adj} (Of, from, or pertaining to the country of Sudan, the Sudanese people or the Sudanese language)	 :: [Bokmål] sudansk; [Nynorsk] sudansk
Sudanese {n} (person from Sudan or of Sudanese descent)	 :: [Bokmål] sudaner {m}; [Nynorsk] sudanar {m}
sudden {n} (surprise) SEE: surprise	 ::
Sudetenland {prop} (region in Czechia)	 :: Sudetenland, Sudetttyskland
sue {v} (to file a legal action)	 :: saksøke
Suez Canal {prop} (canal)	 :: Suezkanalen
suffer {v} (To become worse)	 :: forverre
suffer {v} (To endure, undergo)	 :: lide
suffer {v} (to feel pain)	 :: lide
suffer {v} (to have a disease or condition)	 :: lide
suffer {v} (to undergo hardship)	 :: lide
suffering {n} (condition)	 :: [Bokmål] lidelse {m}; [Nynorsk] liding {f}
suffice {v} (be enough, sufficient, adequate)	 :: rekke; [Bokmål] holde; [Nynorsk] halde
suffix {n} (letters or sounds added at the end of a word to modify the word's meaning)	 :: [Bokmål] suffiks {n}; [Nynorsk] suffiks {n}
suffix {v} (append (something) to the end of something else)	 :: suffigere
suffragist {n} (suffragette) SEE: suffragette	 ::
sugar {n} (any of a series of carbohydrates used by organisms to store energy)	 :: sukker {n}
sugar {n} (generic term for sucrose, glucose, fructose, etc)	 :: sukker {n}
sugar {n} (sucrose from sugar cane or sugar beet and used to sweeten food and drink)	 :: sukker {n}
sugar {n}	 :: sukker
sugar {n} (term of endearment)	 :: kjære {m}
sugarcoat {v} (give a falsely pleasant appearance)	 :: rosemale
sugar-free {adj} (not containing sugar)	 :: [Bokmål] sukkerfri; [Nynorsk] sukkerfri
sugarfree {adj} (sugar-free) SEE: sugar-free	 ::
sugar-loaf {n} (conical block of sugar)	 :: [Bokmål] sukkertopp {m}; [Nynorsk] sukkertopp {m}
sugar pea {n} (mangetout) SEE: mangetout	 ::
suggest {v} (to ask for without demanding)	 :: [Bokmål] foreslå; [Nynorsk] foreslå, føreslå
suggest {v} (to imply but stop short of saying directly)	 :: [Bokmål] antyde; [Nynorsk] antyde
suggestion {n} (something suggested)	 :: forslag {n}
suicide {n} (the event)	 :: selvmord {n}
suicide {n} (the person)	 :: selvmord {n}, selvmordsoffer {n}
suicide bomber {n} (one who carries explosives)	 :: [Bokmål] selvmordsbomber {m}, sjølmordsbomber {m}; [Nynorsk] sjølvmordsbombar {m}
suicide victim {n} (a person who has committed suicide)	 :: selvmordsoffer {n}
suit {n} (card games: set of cards distinguished by color and emblems)	 :: [Bokmål] farge {n}; [Nynorsk] farge {n}, kortfarge {n}
suit {n} (pursuit, chase) SEE: pursuit	 ::
suit {n} (suit of clothes)	 :: [Bokmål] dress {m}; [Nynorsk] dress {m}
suitcase {n} (large piece of luggage)	 :: koffert {m}
sulfur {n} (element)	 :: svovel {m}
sulky {adj} (gloomy)	 :: sur
sulky {n} (two-wheeled cart)	 :: sulky {m}
sullen {adj} (dismal)	 :: muggen, utilfreds, trist
sulphur dioxide {n} (the compound SO2) SEE: sulfur dioxide	 ::
sulphurous acid {n} (sulfurous acid) SEE: sulfurous acid	 ::
sulphur tuft {n} (Hypholoma/Naematoloma fasciculare) SEE: sulfur tuft	 ::
sultry {adj} (hot and humid)	 :: lummer
sum {n} (arithmetic problem)	 :: sum
sum {n} (quantity obtained by addition or aggregation)	 :: [Bokmål] sum {m}; [Nynorsk] sum {m}
sum {n} (quantity of money)	 :: sum {m}
sum {n} (summary) SEE: summary	 ::
sum {n} (summit) SEE: summit	 ::
sum {v} (give a summary of) SEE: summarize	 ::
Sumerian {prop} (language)	 :: sumerisk språk
summarise {v} (summarise) SEE: summarize	 ::
summary {n} (condensed presentation)	 :: sammendrag {n}, resumé {n}
summer {n} (hottest season)	 :: sommer; [Nynorsk] sommar, sumar
summerlike {adj} (of a day or the weather, resembling or characteristic of summer.)	 :: sommerlig
summer solstice {n} (the moment when the hemisphere is most inclined toward the sun)	 :: [Bokmål] sommersolverv {n}; [Nynorsk] sumarsolkverv {m}, sommarsolkverv {m}
summer time {n} (daylight saving time) SEE: daylight saving time	 ::
summon {v} (to ask someone to come)	 :: tilkalle
sum up {v} (summarize) SEE: summarize	 ::
sun {n} (a star, especially when seen as the centre of any single solar system)	 :: sol
sun {prop} (the star around which the Earth revolves)	 :: [Bokmål] sol {m} {f}; [Nynorsk] sol {f}
Sun {prop} (star)	 :: [Bokmål] Sol {m} {f}, Solen {m} {f} [definite]; [Nynorsk] Sola
sunbed {n} (tanning device) SEE: tanning bed	 ::
sunblock {n} (sunscreen) SEE: sunscreen	 ::
Sunday {n} (day of the week)	 :: søndag
sundew {n} (group of insectivorous plants)	 :: soldogg
sundial {n} (simple timekeeping device which makes use of sunlight)	 :: [Bokmål] solur {n}; [Nynorsk] solur {n}
sundown {n} (sunset) SEE: sunset	 ::
sunfish {n} (fish of the family Molidae)	 :: månefisk, klumpfisk
sunflower {n} (flower)	 :: solsikke {n}
sunglasses {n} (tinted glasses worn to protect the eyes from the sun)	 :: solbriller
sunlight {n} (electromagnetic radiation given off by the sun)	 :: [Bokmål] sollys {n}; [Nynorsk] solljos {n}, sollys {n}
Sunnite {n} (Sunni) SEE: Sunni	 ::
sunrise {n} (sky changing color)	 :: soloppgang {m}
sunrise {n} (time of day)	 :: [Bokmål] soloppgang {m}; [Nynorsk] soloppgang {m}
sunset {n} (time of day)	 :: solnedgang {m}
sunshine {n} (direct rays of the sun)	 :: [Bokmål] solskinn {n}; [Nynorsk] solskin {n}
sunshine {n} (location on which the sun's rays fall)	 :: [Bokmål] sol {m}, solskinn {n}
sunspot {n} (region on the sun's surface)	 :: solflekk {m}
suntanned {adj} (having a suntan) SEE: tanned	 ::
sunup {n} (change in color of sky) SEE: sunrise	 ::
sunup {n} (time of day) SEE: sunrise	 ::
supercalifragilisticexpialidocious {adj} (supercalifragilisticexpialidocious)	 :: superoptikjempefantafenomenalistisk, superkallifragilistiskekspialidarisk
supercilious {adj} (haughty)	 :: hovmodig
superconductor {n} (a substance)	 :: [Bokmål] superleder {m}, supraleder {m}; [Nynorsk] superleiar {m}, supraleiar {m}
supercontinent {n} (very large continent in the Earth's past)	 :: superkontinent {c}
superellipse {n} (a type of closed curve)	 :: superellipse {m}
superfluous {adj} (excess of what is sufficient)	 :: [Bokmål] overflødig; [Nynorsk] overflødig
superfluousness {n} (superfluity) SEE: superfluity	 ::
superglue {n} (very strong glue)	 :: [Bokmål] superlim {n}
superior {adj} (higher in rank or quality)	 :: overlegen
superlative {n} (adjective used to praise)	 :: superlativ {n}
superlative {n} (form of adjective expressing "most")	 :: superlativ {m}
superlative {n} (highest degree of something)	 :: superlativ
supermajority {n} (qualified majority) SEE: qualified majority	 ::
Superman {prop} (a fictional character with superhuman powers)	 :: Supermann
supermarket {n} (store)	 :: [Bokmål] supermarked
supermodel {n} (famous fashion model)	 :: supermodell
supernal {adj} (pertaining to heaven or to the sky)	 :: hinsides, overjordisk, som kommer fra det høye, guddommelig, himmelsk
supernatural {adj}	 :: overnaturlig
supernova {n} (exploding star)	 :: [Bokmål] supernova; [Nynorsk] supernova
supernumerary {n} (person in a play or movie with a minimal part) SEE: walk-on	 ::
superpower {n} (sovereign state)	 :: [Bokmål] supermakt {m} {f}; [Nynorsk] supermakt {f}
supersede {v} (Take the place of)	 :: avløse
superstition {n} (a set of beliefs that future events may be influenced by one's behaviour in some magical or mystical way)	 :: overtru
supper {n} (dinner at night)	 :: aftensmat, kveldsmat {m}
supper {n} (food before going to bed)	 :: kveldsmat {m}, nattmat {m} [very late]
supper hour {n} (all senses) SEE: dinnertime	 ::
suppertime {n} (all senses) SEE: dinnertime	 ::
supplementary {adj} (additional)	 :: [Bokmål] supplerende
support {n} (financial or other help)	 :: bistand
support {n} (something which supports)	 :: støtte
suppose {v} (conclude; believe)	 :: anta, formode
suppose {v} (theorize; hypothesize)	 :: anta, forutsette
supposed {adj} (expected) SEE: expected	 ::
supposed {adj} (intended) SEE: intended	 ::
supposed {adj} (obliged) SEE: obliged	 ::
suppression order {n} (gag order) SEE: gag order	 ::
supreme court {n} (court of law representing the highest legal authority within a jurisdiction)	 :: [Bokmål] høyesterett {m}, høgsterett {m}; [Nynorsk] høgsterett {m}
Supreme Leader {n} (head of state of Iran)	 :: Øverste leder
sura {n} (chapter of the Qur'an)	 :: [Bokmål] sura; [Nynorsk] sura
surely {adv} (certainly, undoubtedly)	 :: sikkert
surely {adv} (with confidence)	 :: trygt, sikkert
surely {adv} (without fail)	 :: sikkert
surety {n} (certainty) SEE: certainty	 ::
surface {n} (up-side of a flat object)	 :: [Bokmål] overflate {f} {m}, [of a road] dekke {n}; [Nynorsk] overflate {f}, [of a road] dekke {n}
surface car {n} (streetcar) SEE: streetcar	 ::
surface water {n} (water collecting on the ground or in a body of water)	 :: [Bokmål] overflatevann {n}
surf riding {n} (surfing) SEE: surfing	 ::
surgeon {n} (doctor who performs surgery)	 :: kirurg {m}
surgery {n} (medical specialty)	 :: kirurgi {m}
surgery {n} (procedure involving major incisions)	 :: operasjon {m}
surge suppressor {n} (surge protector) SEE: surge protector	 ::
Suriname {prop} (country)	 :: Surinam
Surinamese {adj} (of, from or pertaining to Suriname)	 :: [Bokmål] surinamsk; [Nynorsk] surinamsk
Surinamese {n} (person from Suriname)	 :: [Bokmål] surinamer {m}; [Nynorsk] surinamar {m}
surjective {adj} (of, relating, or being a surjection)	 :: [Bokmål] surjektiv; [Nynorsk] surjektiv
surmount {v} (to get over; to overcome)	 :: overvinne
surname {n} (name that indicates family)	 :: [Bokmål] navn {n}, etternavn {n}, familienavn {n}, slektsnavn {n}; [Nynorsk] namn {n}, etternamn {n}, familienamn {n}, slektsnamn {n}
surpass {v} (to exceed)	 :: [Bokmål] overgå; [Nynorsk] overgå
surprise {n} (attributively: that is unexpected )	 :: overrasknings- {m}, overraskelses-
surprise {n} (feeling that something unexpected has happened)	 :: overraskelse {m}
surprise {n} (something not expected)	 :: [Bokmål] overraskelse {m}; [Nynorsk] overrasking
surprise {v} (cause (someone) to feel surprise)	 :: overraske
surprise {v} (do something to (a person) that they are not expecting, as a surprise)	 :: overraske
surrealism {n} (artistic movement and aesthetic philosophy)	 :: surrealisme
surrounding {adj} (which surrounds something)	 :: [Bokmål] omkringliggende
surveillance {n} (observation of individuals or groups of individuals)	 :: [Bokmål] oppsikt {m}, overvåking {m-f}, overvåkning {m-f}
survey {n} (an examination)	 :: [Bokmål] undersøkelse {m}
survival of the fittest {n} (natural selection)	 :: den sterkeste overlever
survive {v} (live longer than)	 :: overleve, leve lenger enn
survive {v} (object, concept: continue to exist)	 :: overleve
survive {v} (person: continue to live)	 :: overleve; [Bokmål] overleve
survivor {n} (one who survives)	 :: overlever {m}
Susan {prop} (female given name)	 :: Susanne
Susanna {prop} (biblical character)	 :: Susanna
Susanna {prop} (female given name) SEE: Susan	 ::
sushi {n} (Japanese dish)	 :: [Bokmål] sushi
suspend {v} (To discontinue or interrupt a function, task, position, or event)	 :: avbryte
suspend {v} (To halt temporarily)	 :: suspendere
suspend {v} (To hang freely)	 :: henge
suspenders {n} (stocking supporter) SEE: garter	 ::
suspenders {n} (trouser supporter) SEE: suspender	 ::
suspension bridge {n} (bridge where the deck or roadway is suspended from cables)	 :: [Bokmål] hengebro {m} {f}, hengebru {m} {f}; [Nynorsk] hengebru {f}, hengjebru {f}
suspicion {n} (act of suspecting something or someone, especially of something wrong)	 :: mistanke {m}
suspicion {n} (condition of being suspected)	 :: mistanke {m}
suspicion {n} (slight indication)	 :: mistanke {m}
sustain {v} (to maintain something)	 :: [Bokmål] opprettholde
sustainability {n} (ability to sustain something)	 :: [Bokmål] bærekraft {f} {c}; [Nynorsk] berekraft {f}
sustainable {adj} (able to be sustained)	 :: bærekraftig
sustainable {adj} (able to be sustained: environmental term)	 :: bærekraftig
sutra {n} (a rule or thesis in Sanskrit grammar or Hindu law or philosophy)	 :: sutra {m}
sutra {n} (a scriptural narrative)	 :: sutra {m}
Svalbard {prop} (islands north east of Greenland)	 :: Svalbard
swag {n} (SWAG) SEE: SWAG	 ::
swallow {n} (a chasm or abyss)	 :: [Bokmål] avgrunn {m}, svelg {n}; [Nynorsk] avgrunn {m}, svelg {n}
swallow {n} (amount swallowed)	 :: [Bokmål] svelg {m}; [Nynorsk] svelg {m}
swallow {n} (bird)	 :: [Bokmål] svale {m} {f}; [Nynorsk] svale {f}
swallow {v} (to believe or accept)	 :: [Bokmål] sluke; [Nynorsk] sluke
swallow {v} (to cause to pass from the mouth into the stomach)	 :: [Bokmål] svelge; [Nynorsk] svelgje
swallow {v} (to make muscular contractions of the oesophagus)	 :: [Bokmål] svelge; [Nynorsk] svelgje
swallow {v} (to take in, to consume)	 :: [Bokmål] sluke; [Nynorsk] sluke
swamp {n} (type of wetland)	 :: sump {m}
